species,Latitude,Longitude,periodstart_date,periodend_date,parentarea_name,reason_name,productionareastatusname
Mytilus edulis,51.75639,-9.87611,04/07/2021,11/07/2021,Ardgroom,Toxicity - DSP,Closed
Mytilus edulis,51.69,-9.46972,22/08/2021,12/09/2021,Bantry South,Toxicity - DSP,Closed
Mytilus edulis,51.69,-9.46972,04/07/2021,11/07/2021,Bantry South,Toxicity - DSP,Closed
Mytilus edulis,51.69361,-9.47833,04/07/2021,11/07/2021,Bantry Middle,Toxicity - DSP,Closed
Mytilus edulis,51.69361,-9.47833,22/08/2021,12/09/2021,Bantry Middle,Toxicity - DSP,Closed
Mytilus edulis,51.71806,-9.46667,22/08/2021,19/09/2021,Bantry North,Toxicity - DSP,Closed
Mytilus edulis,51.69278,-9.45972,04/07/2021,12/09/2021,Newtown,Toxicity - DSP,Closed
Mytilus edulis,52.1375,-9.91944,04/07/2021,11/07/2021,Castlemaine Harbour,Toxicity - PSP,Closed
Mytilus edulis,51.74892,-9.91566,01/08/2021,08/08/2021,Gouleenacoush,Toxicity - DSP,Closed
Mytilus edulis,51.74892,-9.91566,18/07/2021,25/07/2021,Gouleenacoush,Toxicity - DSP,Closed
Mytilus edulis,53.61472,-9.83306,25/07/2021,29/08/2021,Killary Outer,Toxicity - DSP,Closed
Mytilus edulis,51.68194,-9.72417,01/08/2021,08/08/2021,Adrigole,Toxicity - DSP,Closed
Mytilus edulis,51.56833,-9.67639,01/08/2021,15/08/2021,Dunmanus Bay,Toxicity - DSP,Closed
Mytilus edulis,51.56833,-9.67639,05/09/2021,12/09/2021,Dunmanus Bay,Toxicity - DSP,Closed
Mytilus edulis,51.8225,-9.82222,22/08/2021,29/08/2021,Tahilla,Toxicity - DSP,Closed
Mytilus edulis,51.8225,-9.82222,19/09/2021,10/10/2021,Tahilla,Toxicity - DSP,Closed
